label,packet_index,mean_size,std_size,count
110,0,60.0,0.0,100
110,1,60.0,0.0,100
110,2,52.0,0.0,100
110,3,725.0,0.0,100
110,4,52.0,0.0,100
110,5,1500.0,0.0,100
110,6,52.0,0.0,100
110,7,1500.0,0.0,100
110,8,68.36,71.67103862633621,100
110,9,362.68,71.63767983203512,100
110,10,52.0,0.0,100
110,11,116.0,0.0,100
110,12,215.2,33.48088554637851,100
110,13,385.5,92.80069879569709,100
110,14,73.78,86.64202213706697,100
110,15,120.02,171.14858451006242,100
110,16,272.61,253.79682062944786,100
110,17,307.54,246.7286744338379,100
110,18,108.75,156.14247411329893,100
110,19,234.07,382.7045239166407,100
111,0,60.0,0.0,100
111,1,60.0,0.0,100
111,2,52.0,0.0,100
111,3,1947.0,0.0,100
111,4,52.0,0.0,100
111,5,732.56,726.3364320514651,100
111,6,819.44,726.3364320514651,100
111,7,732.56,726.3364320514651,100
111,8,833.59,725.0165040963695,100
111,9,717.04,709.7726612846333,100
111,10,787.85,710.5436867695615,100
111,11,82.08,32.103267714981875,100
111,12,155.62,57.58415536842535,100
111,13,295.82,109.06326400560162,100
111,14,250.98,180.94945887364975,100
111,15,111.59,153.32398489288735,100
111,16,200.35,231.64267915926203,100
111,17,211.08,231.35135201854362,100
111,18,252.6,235.4832984276886,100
111,19,180.49,338.9494016349445,100
112,0,60.0,0.0,100
112,1,60.0,0.0,100
112,2,52.0,0.0,100
112,3,1962.0,0.0,100
112,4,52.0,0.0,100
112,5,848.4,724.0000000000001,100
112,6,703.6,724.0000000000001,100
112,7,848.4,724.0000000000001,100
112,8,728.08,711.6735388214079,100
112,9,370.2,307.2572047959004,100
112,10,321.29,305.33092810353435,100
112,11,87.2,32.0,100
112,12,124.04,25.256630292605813,100
112,13,241.4,130.99572049452146,100
112,14,211.68,160.72631107166947,100
112,15,95.13,119.90759531464808,100
112,16,181.34,224.4805100536333,100
112,17,266.16,248.04307706688382,100
112,18,248.18,262.1766841986025,100
112,19,100.94,131.09036285068112,100
120,0,60.0,0.0,100
120,1,60.0,0.0,100
120,2,52.0,0.0,100
120,3,614.4,36.15343285319815,100
120,4,52.0,0.0,100
120,5,1500.0,0.0,100
120,6,52.0,0.0,100
120,7,1024.06,0.6936945446031135,100
120,8,52.0,0.0,100
120,9,116.0,0.0,100
120,10,98.06,49.158128688565995,100
120,11,472.6,167.99272471019557,100
120,12,167.86,157.02499447186392,100
120,13,81.19,84.28243703120592,100
120,14,288.31,237.66195732509644,100
120,15,296.15,258.2300037727701,100
120,16,69.05,15.499999999999996,100
120,17,83.87,149.52001690257214,100
120,18,195.82,284.6943205643839,100
120,19,579.95,595.4344712862697,100
121,0,60.0,0.0,100
121,1,60.0,0.0,100
121,2,52.0,0.0,100
121,3,1835.96,34.77428517009241,100
121,4,52.0,0.0,100
121,5,877.36,720.4811456326398,100
121,6,674.64,720.4811456326398,100
121,7,877.36,720.4811456326398,100
121,8,674.64,720.4811456326398,100
121,9,406.95,303.5714807741234,100
121,10,309.06,303.60350339336867,100
121,11,88.48,31.844470525199547,100
121,12,106.96,38.003168395290515,100
121,13,302.99,227.26487438958338,100
121,14,331.37,219.69591725975715,100
121,15,93.42,84.35293579821499,100
121,16,207.09,218.98655901744976,100
121,17,297.17,248.94026117999402,100
121,18,173.21,238.33921565107934,100
121,19,84.47,127.73294861395846,100
122,0,60.0,0.0,100
122,1,60.0,0.0,100
122,2,52.0,0.0,100
122,3,1827.32,34.82332899686993,100
122,4,52.0,0.0,100
122,5,1022.16,684.2981026813777,100
122,6,529.84,684.2981026813777,100
122,7,1036.64,678.8602974355942,100
122,8,527.59,675.8743546942237,100
122,9,455.82,291.29856875998576,100
122,10,247.83,286.9071596925184,100
122,11,94.88,30.24522000801669,100
122,12,138.78,16.067773129258867,100
