label,mean_pkt_size,std_pkt_size,mean_IAT,std_IAT,mean_CH,std_CH,mean_SH,std_SH
110,315.8755,447.0707046986527,1.2478947368421052,2.523181114444242,725.0,0.0,1500.0,0.0
111,426.7325,614.1344380050267,1.1963157894736842,2.387662831099452,1947.0,0.0,732.56,722.6956250040538
112,378.102,570.8208831113312,1.1726315789473685,2.036428354549528,1962.0,0.0,848.4,720.370904465193
120,295.766,413.6285135770985,1.8526315789473684,3.525750151020889,614.4,35.9722114972099,1500.0,0.0
121,378.2565,554.9579603066795,1.3757894736842105,2.751428941266077,1835.96,34.59997687860499,877.36,716.8696885766617
122,381.996,553.5550406093327,1.39,3.6706524588530867,1827.32,34.648774870116256,1022.16,680.8680154038666
210,310.2525,453.5436470106818,2.1957894736842105,4.056130273768821,713.0,0.0,1500.0,0.0
211,415.576,612.2170221612594,2.15,4.451862413346623,1935.0,0.0,507.2,681.0551813179312
212,373.593,574.1545291565677,2.0921052631578947,7.276164460213744,1950.0,0.0,463.4,662.4925961850441
220,262.554,389.5845865585547,12.91421052631579,48.98176361138903,600.38,33.77625793364327,1500.0,0.0
221,366.284,556.8503697978479,9.722105263157895,32.92106405822511,1825.56,35.97118847077477,551.0,696.3756170343703
222,367.207,567.3123885047813,4.432631578947368,18.53253720298587,1949.2,126.1078903161892,492.75,660.4268979228511
