0,label
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 52, 0]",212
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 60, 0]",120
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",222
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 52, 0]",220
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",122
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 60, 0]",112
"[1, 52, 0]",211
"[1, 52, 0]",211
"[1, 52, 0]",211
"[1, 52, 0]",211
"[1, 52, 0]",211
"[1, 52, 0]",211
"[1, 52, 0]",211
"[1, 52, 0]",211
"[1, 52, 0]",211
"[1, 52, 0]",211
"[1, 52, 0]",211
"[1, 52, 0]",211
"[1, 52, 0]",211
"[1, 52, 0]",211
"[1, 52, 0]",211
"[1, 52, 0]",211
"[1, 52, 0]",211
"[1, 52, 0]",211
"[1, 52, 0]",211
"[1, 52, 0]",211
"[1, 52, 0]",211
"[1, 52, 0]",211
"[1, 52, 0]",211
"[1, 52, 0]",211
"[1, 52, 0]",211
"[1, 52, 0]",211
"[1, 52, 0]",211
"[1, 52, 0]",211
"[1, 52, 0]",211
"[1, 52, 0]",211
"[1, 52, 0]",211
"[1, 52, 0]",211
"[1, 52, 0]",211
"[1, 52, 0]",211
"[1, 52, 0]",211
"[1, 52, 0]",211
"[1, 52, 0]",211
"[1, 52, 0]",211
"[1, 52, 0]",211
"[1, 52, 0]",211
"[1, 52, 0]",211
"[1, 52, 0]",211
"[1, 52, 0]",211
"[1, 52, 0]",211
"[1, 52, 0]",211
"[1, 52, 0]",211
"[1, 52, 0]",211
"[1, 52, 0]",211
"[1, 52, 0]",211
"[1, 52, 0]",211
"[1, 52, 0]",211
"[1, 52, 0]",211
